Date,Open,High,Low,Close,Volume,Open_N,High_N,Low_N,Close_N,Volume_N
2007-08-10,13270.6,13306.5,13057.9,13239.5,338564771,0.571342746,0.566657934,0.558177386,0.56882759,0.432634854
2007-08-13,13238.2,13338.2,13219.5,13236.5,215259612,0.568589528,0.569380892,0.571869273,0.568572604,0.257683722
2007-08-14,13235.7,13269.8,13018.3,13028.9,269115417,0.568377089,0.563505487,0.554822196,0.550927555,0.33409686
2007-08-15,13021.9,13116.6,12836,12861.5,272764625,0.550209253,0.550345953,0.53937646,0.536699322,0.339274527
2007-08-16,12859.5,12885.8,12517.9,12845.8,457145418,0.536409176,0.530520755,0.512424794,0.535364894,0.600882628
2007-08-17,12848,13167.7,12847.8,13079.1,423942459,0.535431953,0.554735328,0.540376239,0.555194325,0.553772715
2007-08-20,13078.5,13181.7,12982.8,13121.3,231801965,0.555018886,0.555937896,0.551814387,0.558781132,0.281154787
2007-08-21,13120,13178.3,13052.2,13090.9,203995392,0.558545383,0.555645844,0.557694442,0.556197271,0.24170152
2007-08-22,13088.2,13246.4,13088.2,13236.1,205525746,0.555843152,0.56149548,0.560744615,0.568538606,0.243872858
2007-08-23,13237.3,13298.6,13169.2,13235.9,198161333,0.56851305,0.565979342,0.567607504,0.568521607,0.233423884
2007-08-24,13231.8,13381.5,13208.7,13378.9,186057245,0.568045683,0.573100264,0.570954221,0.580675952,0.216250037
2007-08-27,13377.2,13387.3,13305.5,13322.1,152444330,0.580401171,0.573598471,0.579155797,0.575848212,0.16855846
2007-08-28,13318.4,13318.6,13034.8,13041.8,230466352,0.575404591,0.567697296,0.556220192,0.552023996,0.279259757
2007-08-29,13043.1,13293.4,13043.1,13289.3,227441997,0.552010741,0.565532673,0.556923426,0.573060362,0.274968661
2007-08-30,13287.9,13315.1,13184.6,13238.7,193256512,0.572812828,0.567396654,0.5689123,0.568759594,0.226464694
2007-08-31,13240.8,13429,13240.8,13357.7,234973696,0.568810466,0.577180407,0.573673959,0.578874049,0.285654988
2007-09-04,13358.4,13494,13317.5,13448.9,262296928,0.578803625,0.58276376,0.580172521,0.586625631,0.324422468
2007-09-05,13442.8,13443.2,13248.2,13305.5,231891968,0.585975586,0.578400155,0.574300939,0.574437288,0.281282488
2007-09-06,13306.4,13398.7,13274.8,13363.3,203614528,0.574384881,0.574577705,0.576554677,0.579350023,0.241161132
2007-09-07,13360.7,13360.8,13082.2,13113.4,238329984,0.57899907,0.571322181,0.560236253,0.558109668,0.290417046
2007-09-10,13116.4,13207.2,13021.9,13127.8,221869376,0.55823947,0.558128288,0.555127213,0.559333602,0.267061965
2007-09-11,13129.4,13326,13129.2,13308.4,200179696,0.559344156,0.56833294,0.564218423,0.574683775,0.236287632
